,origin_dep_time,destination_arr_time,destination_dep_time,origin_arr_time,price,link
1,1:15 PM,3:10 PM,4:25 PM,8:40 AM,924,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|12234-1911251625--31722-0-16216-1911250840
2,1:15 PM,3:10 PM,4:55 PM,9:10 AM,924,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251655--31722-0-16216-1911250910
3,1:15 PM,3:10 PM,12:05 AM,12:12 AM,931,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|12234-1911250005--31722-1-16216-1911250012
4,1:15 PM,3:10 PM,5:30 PM,2:17 PM,932,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251730--31722-1-16216-1911251417
5,1:15 PM,3:10 PM,6:15 PM,3:34 PM,932,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251815--31722-1-16216-1911251534
6,1:15 PM,3:10 PM,5:45 PM,3:07 PM,932,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251745--31722-1-16216-1911251507
7,1:15 PM,3:10 PM,6:15 PM,6:27 PM,932,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251815--31722-2-16216-1911251827
8,1:15 PM,3:10 PM,5:00 PM,11:00 AM,936,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|12234-1911251700--31722-1-16216-1911261100
9,1:15 PM,3:10 PM,1:05 PM,11:00 AM,938,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|12234-1911251305--31722-1-16216-1911251100
10,1:15 PM,3:10 PM,10:15 PM,8:50 PM,943,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|12234-1911252215--31722-1-16216-1911252050
11,1:15 PM,3:10 PM,7:00 PM,8:50 PM,944,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251900--31722-1-16216-1911252050
12,1:15 PM,3:10 PM,7:00 PM,8:55 PM,944,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251900--31722-2-16216-1911252055
13,1:50 PM,4:10 PM,9:15 PM,11:20 AM,961,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-12234-1911201610|14788-1911252115--32690-1-16216-1911261120
14,1:50 PM,4:10 PM,9:00 PM,11:20 AM,961,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-12234-1911201610|12234-1911252100--32690-1-16216-1911261120
15,1:50 PM,8:00 PM,9:15 PM,11:20 AM,961,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-14788-1911202000|14788-1911252115--32690-1-16216-1911261120
16,1:50 PM,8:00 PM,9:00 PM,11:20 AM,961,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-14788-1911202000|12234-1911252100--32690-1-16216-1911261120
17,12:00 PM,12:00 PM,4:55 PM,9:30 AM,994,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181200--32442-1-14788-1911201200|14788-1911251655--32442-1-16216-1911260930
18,6:20 AM,4:50 PM,6:30 PM,4:05 PM,999,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911180620--32695-1-14788-1911191650|14788-1911251830--32695-1-16216-1911251605
19,6:20 AM,4:50 PM,6:30 PM,6:06 PM,999,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911180620--32695-1-14788-1911191650|14788-1911251830--32695-2-16216-1911251806
20,8:20 AM,4:50 PM,6:30 PM,4:05 PM,999,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911180820--32695-1-14788-1911191650|14788-1911251830--32695-1-16216-1911251605
21,8:20 AM,4:50 PM,6:30 PM,6:06 PM,999,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911180820--32695-1-14788-1911191650|14788-1911251830--32695-2-16216-1911251806
22,10:00 AM,4:50 PM,6:30 PM,4:05 PM,999,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181000--32695-1-14788-1911191650|14788-1911251830--32695-1-16216-1911251605
23,10:00 AM,4:50 PM,6:30 PM,6:06 PM,999,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181000--32695-1-14788-1911191650|14788-1911251830--32695-2-16216-1911251806
24,6:20 AM,4:50 PM,6:50 PM,10:03 PM,1002,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911180620--32695-1-14788-1911191650|12234-1911251850--32695-1-16216-1911252203
25,8:20 AM,4:50 PM,6:50 PM,10:03 PM,1002,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911180820--32695-1-14788-1911191650|12234-1911251850--32695-1-16216-1911252203
26,10:00 AM,4:50 PM,6:50 PM,10:03 PM,1002,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181000--32695-1-14788-1911191650|12234-1911251850--32695-1-16216-1911252203
27,11:55 AM,4:55 PM,6:30 PM,4:05 PM,1003,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181155--32695-1-12234-1911201655|14788-1911251830--32695-1-16216-1911251605
28,11:55 AM,4:55 PM,6:30 PM,6:06 PM,1003,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181155--32695-1-12234-1911201655|14788-1911251830--32695-2-16216-1911251806
29,11:20 PM,4:55 PM,6:30 PM,4:05 PM,1003,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911182320--32695-1-12234-1911201655|14788-1911251830--32695-1-16216-1911251605
30,11:20 PM,4:55 PM,6:30 PM,6:06 PM,1003,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911182320--32695-1-12234-1911201655|14788-1911251830--32695-2-16216-1911251806
31,12:00 PM,12:30 PM,4:55 PM,9:30 AM,1006,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181200--32442-1-12234-1911201230|14788-1911251655--32442-1-16216-1911260930
32,12:00 PM,12:00 PM,1:30 PM,9:30 AM,1006,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181200--32442-1-14788-1911201200|12234-1911251330--32442-1-16216-1911260930
33,12:00 PM,12:30 PM,1:30 PM,9:30 AM,1006,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181200--32442-1-12234-1911201230|12234-1911251330--32442-1-16216-1911260930
34,11:55 AM,4:55 PM,6:50 PM,10:03 PM,1007,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181155--32695-1-12234-1911201655|12234-1911251850--32695-1-16216-1911252203
35,11:20 PM,4:55 PM,6:50 PM,10:03 PM,1007,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911182320--32695-1-12234-1911201655|12234-1911251850--32695-1-16216-1911252203
36,1:50 PM,4:10 PM,7:30 PM,11:20 AM,1022,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-12234-1911201610|12234-1911251930--32690-1-16216-1911261120
37,1:50 PM,8:00 PM,7:30 PM,11:20 AM,1022,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-14788-1911202000|12234-1911251930--32690-1-16216-1911261120
38,1:15 PM,7:15 PM,4:25 PM,8:40 AM,1071,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|12234-1911251625--31722-0-16216-1911250840
39,1:15 PM,7:15 PM,4:55 PM,9:10 AM,1071,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|14788-1911251655--31722-0-16216-1911250910
40,1:15 PM,7:15 PM,12:05 AM,12:12 AM,1078,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|12234-1911250005--31722-1-16216-1911250012
41,1:15 PM,7:15 PM,5:30 PM,2:17 PM,1079,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|14788-1911251730--31722-1-16216-1911251417
42,1:15 PM,7:15 PM,6:15 PM,3:34 PM,1079,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|14788-1911251815--31722-1-16216-1911251534
43,1:15 PM,7:15 PM,5:45 PM,3:07 PM,1079,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|14788-1911251745--31722-1-16216-1911251507
44,1:15 PM,7:15 PM,6:15 PM,6:27 PM,1079,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|14788-1911251815--31722-2-16216-1911251827
45,1:15 PM,7:15 PM,5:00 PM,11:00 AM,1083,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|12234-1911251700--31722-1-16216-1911261100
46,1:15 PM,3:10 PM,6:05 PM,11:00 AM,1085,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-14788-1911201510|14788-1911251805--31722-1-16216-1911261100
47,1:15 PM,7:15 PM,6:05 PM,11:00 AM,1085,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|14788-1911251805--31722-1-16216-1911261100
48,1:15 PM,7:15 PM,1:05 PM,11:00 AM,1085,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|12234-1911251305--31722-1-16216-1911251100
49,1:50 PM,7:45 PM,1:10 PM,2:00 PM,1090,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181350--32690-1-12234-1911201945|14788-1911251310--32558-1-16216-1911251400
50,1:15 PM,7:15 PM,10:15 PM,8:50 PM,1090,https://www.skyscanner.ca/transport/flights/sfo/tyoa/191118/191125/?adults=1&children=0&adultsv2=1&childrenv2=&infants=0&cabinclass=economy&rtn=1&preferdirects=false&outboundaltsenabled=false&inboundaltsenabled=false&ref=home#/details/16216-1911181315--31722-1-12234-1911201915|12234-1911252215--31722-1-16216-1911252050
